,name,value,,,
329,TotCases.1Mpop,1519,,,
330,TotRecovered.1Mpop,1471,,,
331,TotCases.1Mpop,455743,,,
332,TotRecovered.1Mpop,127131,,,
333,TotCases.1Mpop,158865,,,
334,TotRecovered.1Mpop,153825,,,
335,TotCases.1Mpop,2162,,,
336,TotRecovered.1Mpop,2137,,,
337,TotCases.1Mpop,1616,,,
338,TotRecovered.1Mpop,783,,,
339,TotCases.1Mpop,4284,,,
340,TotRecovered.1Mpop,4141,,,
341,TotCases.1Mpop,16980,,,
342,TotRecovered.1Mpop,16870,,,
343,TotCases.1Mpop,979,,,
344,TotRecovered.1Mpop,957,,,
345,TotCases.1Mpop,29874,,,
346,TotRecovered.1Mpop,22682,,,
347,TotCases.1Mpop,609154,,,
348,TotRecovered.1Mpop,602142,,,
349,TotCases.1Mpop,596131,,,
350,TotRecovered.1Mpop,491900,,,
351,TotCases.1Mpop,513533,,,
352,TotRecovered.1Mpop,505458,,,
353,TotCases.1Mpop,172161,,,
354,TotRecovered.1Mpop,169623,,,
355,TotCases.1Mpop,2728,,,
356,TotRecovered.1Mpop,623,,,
357,TotCases.1Mpop,293095,,,
358,TotRecovered.1Mpop,290108,,,
359,TotCases.1Mpop,1534,,,
360,TotRecovered.1Mpop,1492,,,
361,TotCases.1Mpop,1786,,,
362,TotRecovered.1Mpop,1734,,,
363,TotCases.1Mpop,11367,,,
364,TotRecovered.1Mpop,11151,,,
365,TotCases.1Mpop,150182,,,
366,TotRecovered.1Mpop,145134,,,
367,TotCases.1Mpop,78743,,,
368,TotRecovered.1Mpop,7936,,,
369,TotCases.1Mpop,217668,,,
370,TotRecovered.1Mpop,216341,,,
371,TotCases.1Mpop,15441,,,
372,TotRecovered.1Mpop,15183,,,
373,TotCases.1Mpop,254342,,,
374,TotRecovered.1Mpop,252527,,,
375,TotCases.1Mpop,2973,,,
376,TotRecovered.1Mpop,2894,,,
377,TotCases.1Mpop,367192,,,
378,TotRecovered.1Mpop,363924,,,
379,TotCases.1Mpop,4889,,,
380,TotRecovered.1Mpop,4701,,,
381,TotCases.1Mpop,210117,,,
382,TotRecovered.1Mpop,48462,,,
383,TotCases.1Mpop,383,,,
384,TotRecovered.1Mpop,293,,,
385,TotCases.1Mpop,37069,,,
386,TotRecovered.1Mpop,36957,,,
387,TotCases.1Mpop,2777,,,
388,TotRecovered.1Mpop,2748,,,
389,TotCases.1Mpop,381,,,
390,TotRecovered.1Mpop,341,,,
