Country,TotalCases,"Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical",TotCases/1Mpop,"Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,latitude,longitude
Palau,5460,6,,5444,10,1,299457,329,64681,3547469,18233,7.51498,134.58252
Nauru,4611,1,,4605,5,,422911,92,20509,1881042,10903,-0.522778,166.931503
Anguilla,3865,12,,3848,5,4,253775,788,51382,3373736,15230,18.220554,-63.068615
Kiribati,3430,13,,2703,714,3,27792,105,,,123419,-3.370417,-168.734039
Saint Pierre and Miquelon,3188,1,,2449,738,1,553568,174,24902,4324015,5759,46.941936,-56.27111
Falkland Islands [Islas Malvinas],1886,,,1886,0,,532919,,8632,2439107,3539,-51.796253,-59.523613
Montserrat,1396,8,,1353,35,,281168,1611,17579,3540584,4965,16.742498,-62.187366
Saint Helena,1355,,,2,1353,,221586,,,,6115,-24.143474,-10.030696
Wallis and Futuna,761,7,,438,316,,69295,637,20508,1867419,10982,-13.768752,-177.156097
Niue,80,,,80,0,,49322,,,,1622,-19.054445,-169.867233
Vatican City,29,,,29,0,,36295,,,,799,41.902916,12.453389
Tuvalu,20,,,,20,,1658,,,,12066,-7.109535,177.64933
Western Sahara,10,1,,9,0,,16,2,,,626161,24.215527,-12.885834
